Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY,rayon_de_courbure,rayon_de_courbure_clipped
0.0,205.36,435947.9743,296190.82,18.09601748,50.52927545,,
1.0,205.371,435948.8065,296190.2656,18.09602932,50.52927056,1126.7809423102476,250.00516283577699
2.0,205.3856,435949.6383,296189.7104,18.09604115,50.52926566,1092.4885348906948,250.00516283577699
3.0,205.3789,435950.4695,296189.1545,18.09605298,50.52926075,12030.33323569596,250.00516283577699
4.0,205.3691,435951.3007,296188.5985,18.0960648,50.52925584,10334833886.322834,250.00516283577699
5.0,205.3507,435952.1319,296188.0425,18.09607663,50.52925093,15450204902.860458,250.00516283577699
6.0,205.3915,435952.9631,296187.4865,18.09608845,50.52924602,inf,250.00516283577699
7.0,205.3549,435953.7943,296186.9305,18.09610028,50.52924111,12030.333236279936,250.00516283577699
8.0,205.4,435954.6255,296186.3746,18.0961121,50.5292362,192.7892890754805,192.7892890754805
9.0,205.3943,435955.4538,296185.8144,18.09612389,50.52923125,1127.7889484575817,250.00516283577699
10.0,205.414,435956.2817,296185.2534,18.09613567,50.52922629,17826.835464922053,250.00516283577699
11.0,205.4162,435957.1095,296184.6924,18.09614744,50.52922134,inf,250.00516283577699
12.0,205.4031,435957.9373,296184.1314,18.09615922,50.52921638,inf,250.00516283577699
13.0,205.4042,435958.7651,296183.5704,18.096171,50.52921143,7200.470349191944,250.00516283577699
14.0,205.4234,435959.593,296183.0095,18.09618278,50.52920647,7200.470349191944,250.00516283577699
15.0,205.425,435960.4208,296182.4485,18.09619456,50.52920152,15311225535.050482,250.00516283577699
16.0,205.4231,435961.2486,296181.8875,18.09620633,50.52919656,104.4974062919992,104.4974062919992
17.0,205.4344,435962.071,296181.3186,18.09621804,50.52919154,127.81084458497564,127.81084458497564
18.0,205.42,435962.8889,296180.7433,18.09622968,50.52918645,17382.565155370467,250.00516283577699
19.0,205.4407,435963.7069,296180.168,18.09624132,50.52918137,17382.53638430766,250.00516283577699
20.0,205.4376,435964.5248,296179.5927,18.09625296,50.52917628,17382.53638430766,250.00516283577699
21.0,205.4486,435965.3428,296179.0174,18.0962646,50.52917119,17382.565155370467,250.00516283577699
22.0,205.4485,435966.1607,296178.4421,18.09627624,50.52916611,inf,250.00516283577699
23.0,205.4557,435966.9786,296177.8668,18.09628788,50.52916102,17382.5736905051,250.00516283577699
24.0,205.45,435967.7966,296177.2915,18.09629952,50.52915594,17382.573691746493,250.00516283577699
25.0,205.454,435968.6145,296176.7162,18.09631116,50.52915085,17382.565155370467,250.00516283577699
26.0,205.4639,435969.4325,296176.1409,18.09632281,50.52914577,17382.56515536422,250.00516283577699
27.0,205.4768,435970.2504,296175.5656,18.09633445,50.52914068,17382.565155370467,250.00516283577699
28.0,205.4749,435971.0684,296174.9903,18.09634609,50.5291356,17382.53638430766,250.00516283577699
29.0,205.4781,435971.8863,296174.415,18.09635773,50.52913051,10501331589.158869,250.00516283577699
30.0,205.4796,435972.7042,296173.8397,18.09636937,50.52912543,17382.544919414042,250.00516283577699
31.0,205.4846,435973.5222,296173.2644,18.09638101,50.52912034,17382.544919414042,250.00516283577699
32.0,205.4935,435974.3401,296172.6891,18.09639265,50.52911526,17382.5736905051,250.00516283577699
33.0,205.4987,435975.1581,296172.1138,18.09640429,50.52911017,17382.573691746493,250.00516283577699
34.0,205.504,435975.976,296171.5385,18.09641594,50.52910509,inf,250.00516283577699
35.0,205.5075,435976.7939,296170.9632,18.09642758,50.5291,17382.544919407796,250.00516283577699
36.0,205.4954,435977.6119,296170.3879,18.09643922,50.52909492,17382.544919414042,250.00516283577699
37.0,205.5192,435978.4298,296169.8126,18.09645086,50.52908983,17382.5736905051,250.00516283577699
38.0,205.5091,435979.2478,296169.2373,18.0964625,50.52908475,17382.5736905051,250.00516283577699
39.0,205.5152,435980.0657,296168.662,18.09647414,50.52907966,17382.544919414042,250.00516283577699
40.0,205.5127,435980.8837,296168.0867,18.09648578,50.52907458,17382.544919414042,250.00516283577699
41.0,205.5228,435981.7016,296167.5114,18.09649742,50.52906949,35404118329.74015,250.00516283577699
42.0,205.51,435982.5195,296166.9361,18.09650906,50.52906441,423.8209214101309,250.00516283577699
43.0,205.5103,435983.3388,296166.3627,18.09652072,50.52905934,91.50000830455454,91.50000830455454
44.0,205.5143,435984.1643,296165.7983,18.09653247,50.52905435,12114.844944894381,250.00516283577699
45.0,205.53,435984.9898,296165.2338,18.09654421,50.52904937,38312.418036409246,250.00516283577699
46.0,205.53,435985.8152,296164.6694,18.09655596,50.52904438,38312.418036409246,250.00516283577699
47.0,205.5092,435986.6407,296164.1049,18.09656771,50.52903939,12114.844945340397,250.00516283577699
48.0,205.5365,435987.4662,296163.5405,18.09657945,50.52903441,7194.450163619196,250.00516283577699
49.0,205.5369,435988.2916,296162.976,18.0965912,50.52902942,7194.455137560777,250.00516283577699
50.0,205.5417,435989.1171,296162.4116,18.09660294,50.52902443,12114.868692445876,250.00516283577699
51.0,205.5388,435989.9426,296161.8471,18.09661469,50.52901945,38312.655553070064,250.00516283577699
52.0,205.5344,435990.768,296161.2827,18.09662643,50.52901446,38312.655553070064,250.00516283577699
53.0,205.5683,435991.5935,296160.7182,18.09663818,50.52900947,12114.868692445876,250.00516283577699
54.0,205.55,435992.419,296160.1538,18.09664992,50.52900449,7194.458539269911,250.00516283577699
55.0,205.5533,435993.2444,296159.5893,18.09666167,50.5289995,7194.4535649557465,250.00516283577699
56.0,205.6192,435994.0699,296159.0249,18.09667341,50.52899451,12114.844944894381,250.00516283577699
57.0,205.5558,435994.8954,296158.4604,18.09668516,50.52898952,38312.418036409246,250.00516283577699
58.0,205.559,435995.7208,296157.896,18.0966969,50.52898454,38312.418036409246,250.00516283577699
59.0,205.5589,435996.5463,296157.3315,18.09670865,50.52897955,12114.835301815994,250.00516283577699
60.0,205.57,435997.3718,296156.7671,18.0967204,50.52897456,7194.455137724732,250.00516283577699
61.0,205.5658,435998.1972,296156.2026,18.09673214,50.52896958,7194.45853890203,250.00516283577699
62.0,205.56,435999.0227,296155.6382,18.09674389,50.52896459,12114.859048883667,250.00516283577699
63.0,205.5744,435999.8482,296155.0737,18.09675563,50.5289596,38312.655553070064,250.00516283577699
64.0,205.5669,436000.6736,296154.5093,18.09676738,50.52895462,38312.655553070064,250.00516283577699
65.0,205.5809,436001.4991,296153.9448,18.09677912,50.52894963,12114.859048286648,250.00516283577699
66.0,205.5759,436002.3246,296153.3804,18.09679087,50.52894464,7194.4535651596725,250.00516283577699
67.0,205.5879,436003.15,296152.8159,18.09680261,50.52893966,7194.4535651596725,250.00516283577699
68.0,205.5905,436003.9755,296152.2515,18.09681436,50.52893467,12114.844944894381,250.00516283577699
69.0,205.58,436004.801,296151.687,18.0968261,50.52892968,38312.418036409246,250.00516283577699
70.0,205.5835,436005.6264,296151.1226,18.09683785,50.5289247,38312.418030248875,250.00516283577699
71.0,205.5855,436006.4519,296150.5581,18.09684959,50.52891971,12114.859048883667,250.00516283577699
