Couple,rpm
95.0,0
94.74666667,1
94.49333333,2
94.24,3
93.98666667,4
93.73333333,5
93.48,6
93.22666667,7
92.97333333,8
92.72,9
92.46666667,10
92.21333333,11
91.96,12
91.70666667,13
91.45333333,14
91.2,15
90.94666667,16
90.69333333,17
90.44,18
90.18666667,19
89.93333333,20
89.68,21
89.42666667,22
89.17333333,23
88.92,24
88.66666667,25
88.41333333,26
88.16,27
87.90666667,28
87.65333333,29
87.4,30
87.14666667,31
86.89333333,32
86.64,33
86.38666667,34
86.13333333,35
85.88,36
85.62666667,37
85.37333333,38
85.12,39
84.86666667,40
84.61333333,41
84.36,42
84.10666667,43
83.85333333,44
83.6,45
83.34666667,46
83.09333333,47
82.84,48
82.58666667,49
82.33333333,50
82.08,51
81.82666667,52
81.57333333,53
81.32,54
81.06666667,55
80.81333333,56
80.56,57
80.30666667,58
80.05333333,59
79.8,60
79.54666667,61
79.29333333,62
79.04,63
78.78666667,64
78.53333333,65
78.28,66
78.02666667,67
77.77333333,68
77.52,69
77.26666667,70
77.01333333,71
76.76,72
76.50666667,73
76.25333333,74
76.0,75
75.74666667,76
75.49333333,77
75.24,78
74.98666667,79
74.73333333,80
74.48,81
74.22666667,82
73.97333333,83
73.72,84
73.46666667,85
73.21333333,86
72.96,87
72.70666667,88
72.45333333,89
72.2,90
71.94666667,91
71.69333333,92
71.44,93
71.18666667,94
70.93333333,95
70.68,96
70.42666667,97
70.17333333,98
69.92,99
69.66666667,100
69.41333333,101
69.16,102
68.90666667,103
68.65333333,104
68.4,105
68.14666667,106
67.89333333,107
67.64,108
67.38666667,109
67.13333333,110
66.88,111
66.62666667,112
66.37333333,113
66.12,114
65.86666667,115
65.61333333,116
65.36,117
65.10666667,118
64.85333333,119
64.6,120
64.34666667,121
64.09333333,122
63.84,123
63.58666667,124
63.33333333,125
63.08,126
62.82666667,127
62.57333333,128
62.32,129
62.06666667,130
61.81333333,131
61.56,132
61.30666667,133
61.05333333,134
60.8,135
60.54666667,136
60.29333333,137
60.04,138
59.78666667,139
59.53333333,140
59.28,141
59.02666667,142
58.77333333,143
58.52,144
58.26666667,145
58.01333333,146
57.76,147
57.50666667,148
57.25333333,149
57.0,150
56.74666667,151
56.49333333,152
56.24,153
55.98666667,154
55.73333333,155
55.48,156
55.22666667,157
54.97333333,158
54.72,159
54.46666667,160
54.21333333,161
53.96,162
53.70666667,163
53.45333333,164
53.2,165
52.94666667,166
52.69333333,167
52.44,168
52.18666667,169
51.93333333,170
51.68,171
51.42666667,172
51.17333333,173
50.92,174
50.66666667,175
50.41333333,176
50.16,177
49.90666667,178
49.65333333,179
49.4,180
49.14666667,181
48.89333333,182
48.64,183
48.38666667,184
48.13333333,185
47.88,186
47.62666667,187
47.37333333,188
47.12,189
46.86666667,190
46.61333333,191
46.36,192
46.10666667,193
45.85333333,194
45.6,195
45.34666667,196
45.09333333,197
44.84,198
44.58666667,199
44.33333333,200
44.08,201
43.82666667,202
43.57333333,203
43.32,204
43.06666667,205
42.81333333,206
42.56,207
42.30666667,208
42.05333333,209
41.8,210
41.54666667,211
41.29333333,212
41.04,213
40.78666667,214
40.53333333,215
40.28,216
40.02666667,217
39.77333333,218
39.52,219
39.26666667,220
39.01333333,221
38.76,222
38.50666667,223
38.25333333,224
38.0,225
37.74666667,226
37.49333333,227
37.24,228
36.98666667,229
36.73333333,230
36.48,231
36.22666667,232
35.97333333,233
35.72,234
35.46666667,235
35.21333333,236
34.96,237
34.70666667,238
34.45333333,239
34.2,240
33.94666667,241
33.69333333,242
33.44,243
33.18666667,244
32.93333333,245
32.68,246
32.42666667,247
32.17333333,248
31.92,249
31.66666667,250
31.41333333,251
31.16,252
30.90666667,253
30.65333333,254
30.4,255
30.14666667,256
29.89333333,257
29.64,258
29.38666667,259
29.13333333,260
28.88,261
28.62666667,262
28.37333333,263
28.12,264
27.86666667,265
27.61333333,266
27.36,267
27.10666667,268
26.85333333,269
26.6,270
26.34666667,271
26.09333333,272
25.84,273
25.58666667,274
25.33333333,275
25.08,276
24.82666667,277
24.57333333,278
24.32,279
24.06666667,280
23.81333333,281
23.56,282
23.30666667,283
23.05333333,284
22.8,285
22.54666667,286
22.29333333,287
22.04,288
21.78666667,289
21.53333333,290
21.28,291
21.02666667,292
20.77333333,293
20.52,294
20.26666667,295
20.01333333,296
19.76,297
19.50666667,298
19.25333333,299
19.0,300
18.74666667,301
18.49333333,302
18.24,303
17.98666667,304
17.73333333,305
17.48,306
17.22666667,307
16.97333333,308
16.72,309
16.46666667,310
16.21333333,311
15.96,312
15.70666667,313
15.45333333,314
15.2,315
14.94666667,316
14.69333333,317
14.44,318
14.18666667,319
13.93333333,320
13.68,321
13.42666667,322
13.17333333,323
12.92,324
12.66666667,325
12.41333333,326
12.16,327
11.90666667,328
11.65333333,329
11.4,330
11.14666667,331
10.89333333,332
10.64,333
10.38666667,334
10.13333333,335
9.88,336
9.626666667,337
9.373333333,338
9.12,339
8.866666667,340
8.613333333,341
8.36,342
8.106666667,343
7.853333333,344
7.6,345
7.346666667,346
7.093333333,347
6.84,348
6.586666667,349
6.333333333,350
6.08,351
5.826666667,352
5.573333333,353
5.32,354
5.066666667,355
4.813333333,356
4.56,357
4.306666667,358
4.053333333,359
3.8,360
3.546666667,361
3.293333333,362
3.04,363
2.786666667,364
2.533333333,365
2.28,366
2.026666667,367
1.773333333,368
1.52,369
1.266666667,370
1.013333333,371
0.76,372
0.506666667,373
0.253333333,374
0.0,375
